example_id,tweet_id,customer_message,historical_brand_reply,gold_intent,gold_intent_verified,should_escalate,escalation_reason,expected_action_or_facts,difficulty,annotator_notes,sampling_stratum,resolution_type
ex_0227,832541,"<USER> Also missing is INSTAHIT CREW'S Bringing Back The Funk Volumes 1 through 7, have it added to your line ASAP!",<USER> Hey Adam! Licensing agreements can affect music availability. We have more info here: <URL> /NS,Playlist / Library,False,,,,,,Playlist / Library,clarification_request
ex_0228,781905,is it only me or does the <USER> search functionality really suck?,<USER> Hi Friedrich! Sorry to hear that. Can you let us know what's happening exactly? Are you getting any error messages? We'd love to help /LP,Content Availability,False,,,,,,Content Availability,clarification_request
ex_0229,2316881,"<USER> Hi, i just recieved an email saying my email address has been changed and now i cannot log in to my account. Can you help?","<USER> Hey Steve, we're sorry to hear that! We'd suggest checking out <URL> for what to do next /RH <URL>",Account / Login / Security,False,,,,,,Account / Login / Security,informational
ex_0230,2565907,<USER> <USER> <USER> Where is the update for iPhone X? The phone has been out for 2 weeks!,"<USER> Hey Brooks, we understand - we’re working on it as we speak. Stay tuned! /TR",App / Device / Technical,False,,,,,,App / Device / Technical,other
ex_0231,609678,hey <USER> youre killin me w not giving me the option to move your mobile app to my SD card. <URL>,"<USER> Hi there! We're afraid it's not possible to move the app to an SD card, but you can save your downloaded music to it. Hope this clears things up. Let us know if you have any other questions /NY",App / Device / Technical,False,,,,,,App / Device / Technical,informational
ex_0232,1266596,"<USER> Hi, are you having issues taking payments? Money in account, card details correct but getting messages to say it’s not working.","<USER> Hi Tara, help's here! Can you DM us your username or email address? We'll check under the hood /HC <URL>",Billing / Payment,False,,,,,,Billing / Payment,private_escalation
ex_0233,1251415,"<USER> Done - almost 10,000 votes for this feature... is anyone really listening?",<USER> We understand where you're coming from. We can’t make any promises but we’ll pass your feedback onto the right folks /RH,Feature / Product Question,False,,,,,,Feature / Product Question,other
ex_0234,1055368,#spotify is a great music service but the downside it they don't have their services in Sri-Lanka.,<USER> Hey there! We're launching in new countries as often as possible. Be sure to add your email at <URL> /RS,Playback / Audio,False,,,,,,Playback / Audio,other
ex_0235,1477058,<USER> <USER> The feature in question. <URL>,<USER> Hey! There's currently a 10k limit in Your Music (Songs + Albums + Artists). More info here: <URL> /RH,Feature / Product Question,False,,,,,,Feature / Product Question,clarification_request
ex_0236,2815950,"<USER> Hello, I really hope u guys put ""Mic Drop Remix"" by <USER>, <USER> &amp; <USER> in one of most popular playlists","<USER> Hi there, thanks for the feedback! Our Curation team are independent &amp; use taste, data, research, and trends to create playlists, but we’ll pass on your suggestion /NQ",Playback / Audio,False,,,,,,Playback / Audio,other
ex_0237,2251465,<USER> You're amazing for responding! Thank you. I bought it instead xx,<USER> Awesome! Let us know if you ever need us again. We'd be... <URL> /NH,Ads,False,,,,,,Ads,other
ex_0238,211405,<USER> Used it at work and school and neither worked. I'll reset my router at home though,<USER> Sounds like a plan! We'll be right here waiting for your update /GU,Account / Login / Security,False,,,,,,Account / Login / Security,other
ex_0239,1788659,<USER> email added some months ago 😂,"<USER> Okay! We'll let you know when we're available in your region. If you ever need anything else, just shout and we'll come running 🏃 /MQ",Ads,False,,,,,,Ads,informational
ex_0240,652879,It is such a blasphemy that Spotify still doesn't have Lemonade. Hey <USER> get your shit together it's 2017!! <URL>,"<USER> Hey Hannah! We're working on it, and we hope to have it available soon. There's more info here: <URL> /KM",Ads,False,,,,,,Ads,clarification_request
ex_0241,375675,I’m very upset that <USER> got rid of the force touch previewing feature!! 😡,<USER> Hey there! We have more info about this here: <URL> Give us a shout if you have any questions /FR,Feature / Product Question,False,,,,,,Feature / Product Question,clarification_request
ex_0242,232221,"<USER> And that's a dealbreaker for me. But thanks for caring :) If you ever do add proper library management, I'll reconsider.","<USER> Sorry to hear that, but we appreciate your feedback. We'll make sure to pass it to the team /CX",Playlist / Library,False,,,,,,Playlist / Library,other
ex_0243,877448,"Hmm <USER>, I can't seem to find <USER>'s new album. Why is that?","<USER> Hey Lenz! We’d love to have all of their stuff available, but we have some info about content here: <URL> /VK",Content Availability,False,,,,,,Content Availability,other
ex_0244,2182120,"<USER> This is a stage show about the band, not actually them performing",<USER> Thanks. We appreciate the heads up! It seems like all shows related to an artist shows up on an artist's concert page /GK,Other / Ambiguous,False,,,,,,Other / Ambiguous,other
ex_0245,1180923,<USER> why my hacked Spotify is doing this? <URL>,<USER> Hey! What’s happening exactly? Can you let us know the device/OS and Spotify version you’re using? We'll see what we can suggest /CO,Account / Login / Security,False,,,,,,Account / Login / Security,clarification_request
ex_0246,1949202,love it if someone could share exactly how to merge a personal <USER> account to an artist one?,<USER> Hey there! Can you let us know the email addresses of your accounts via DM? We'll see what we can suggest /PL <URL>,Feature / Product Question,False,,,,,,Feature / Product Question,clarification_request
ex_0247,906949,please have <USER> albums on <USER>,"<USER> Hey there! We’d love to have all of that available, but we have some info about content here: <URL> /GK",Content Availability,False,,,,,,Content Availability,other
ex_0248,2921964,<USER> is there anyway to turn off or skip videos?,<USER> Hey Anthony! Help's here. Can you tell us what specific videos you're referring to? We'll see what we can suggest /CH,Playback / Audio,False,,,,,,Playback / Audio,clarification_request
ex_0249,93912,<USER> Says im not eligible. Why?!,"<USER> Hi there, the cavalry's here! What’s happening exactly? Can you DM us your account's username and email address? We'd love to help out /JI",Other / Ambiguous,False,,,,,,Other / Ambiguous,private_escalation
ex_0250,1033171,<USER> pls bring back lyrics,"<USER> Hey there, we hear you! Any updates will be posted at <URL> We'd recommend voting to support the idea too 👍 /DQ",Feature / Product Question,False,,,,,,Feature / Product Question,other
